"","symbol","date","open","close"
"4339","ETH","2016-07-24",14.3,12.75
"4340","ETH","2016-07-25",12.74,13.84
"4341","ETH","2016-07-26",13.82,11.99
"4342","ETH","2016-07-27",12.05,12.97
"4343","ETH","2016-07-28",12.98,12.84
"4344","ETH","2016-07-29",12.84,12.79
"4345","ETH","2016-07-30",12.8,12.46
"4346","ETH","2016-07-31",12.44,11.88
"4347","ETH","2016-08-01",11.89,10.94
"4348","ETH","2016-08-02",10.95,8.79
"4349","ETH","2016-08-03",8.88,10.29
"4350","ETH","2016-08-04",10.31,11.04
"4351","ETH","2016-08-05",11.02,10.93
"4352","ETH","2016-08-06",10.92,10.88
"4353","ETH","2016-08-07",10.86,10.91
"4354","ETH","2016-08-08",10.91,11.25
"4355","ETH","2016-08-09",11.27,12.24
"4356","ETH","2016-08-10",12.23,12.14
"4357","ETH","2016-08-11",12.14,11.69
"4358","ETH","2016-08-12",11.69,11.78
"4359","ETH","2016-08-13",11.77,11.57
"4360","ETH","2016-08-14",11.58,11.19
"4361","ETH","2016-08-15",11.2,11.22
"4362","ETH","2016-08-16",11.23,11.14
"4363","ETH","2016-08-17",11.13,10.75
"4364","ETH","2016-08-18",10.75,10.76
"4365","ETH","2016-08-19",10.75,10.75
"4366","ETH","2016-08-20",10.75,11.25
"4367","ETH","2016-08-21",11.25,11.18
"4368","ETH","2016-08-22",11.19,11.12
"4369","ETH","2016-08-23",11.14,11.03
"4370","ETH","2016-08-24",11.02,11.04
"4371","ETH","2016-08-25",11.03,11.36
"4372","ETH","2016-08-26",11.35,11.3
"4373","ETH","2016-08-27",11.29,11.15
"4374","ETH","2016-08-28",11.15,10.93
"4375","ETH","2016-08-29",10.92,10.98
"4376","ETH","2016-08-30",10.99,11.23
"4377","ETH","2016-08-31",11.24,11.67
"4378","ETH","2016-09-01",11.67,11.99
"4379","ETH","2016-09-02",11.96,12.11
"4380","ETH","2016-09-03",12.11,11.76
"4381","ETH","2016-09-04",11.75,11.68
"4382","ETH","2016-09-05",11.68,11.72
"4383","ETH","2016-09-06",11.73,11.69
"4384","ETH","2016-09-07",11.69,11.55
"4385","ETH","2016-09-08",11.55,11.35
"4386","ETH","2016-09-09",11.41,11.65
"4387","ETH","2016-09-10",11.66,12.17
"4388","ETH","2016-09-11",12.21,11.64
"4389","ETH","2016-09-12",11.64,11.89
"4390","ETH","2016-09-13",11.89,11.92
"4391","ETH","2016-09-14",11.9,11.92
"4392","ETH","2016-09-15",11.94,11.94
"4393","ETH","2016-09-16",11.96,12.56
"4394","ETH","2016-09-17",12.56,12.7
"4395","ETH","2016-09-18",12.69,12.43
"4396","ETH","2016-09-19",12.44,13.19
"4397","ETH","2016-09-20",13.21,14.43
"4398","ETH","2016-09-21",14.43,13.77
"4399","ETH","2016-09-22",13.66,13.25
"4400","ETH","2016-09-23",13.21,13.33
"4401","ETH","2016-09-24",13.32,12.88
"4402","ETH","2016-09-25",12.85,13.1
"4403","ETH","2016-09-26",13.17,12.82
"4404","ETH","2016-09-27",12.86,13.1
"4405","ETH","2016-09-28",13.11,13.27
"4406","ETH","2016-09-29",13.28,13.07
"4407","ETH","2016-09-30",13.08,13.22
"4408","ETH","2016-10-01",13.2,13.17
"4409","ETH","2016-10-02",13.18,13.2
"4410","ETH","2016-10-03",13.2,13.45
"4411","ETH","2016-10-04",13.45,13.28
"4412","ETH","2016-10-05",13.28,13.04
"4413","ETH","2016-10-06",13.03,12.85
"4414","ETH","2016-10-07",12.85,12.67
"4415","ETH","2016-10-08",12.67,12.22
"4416","ETH","2016-10-09",12.22,12.05
"4417","ETH","2016-10-10",12.06,11.76
"4418","ETH","2016-10-11",11.76,11.79
"4419","ETH","2016-10-12",11.78,11.93
"4420","ETH","2016-10-13",11.91,11.96
"4421","ETH","2016-10-14",11.99,11.94
"4422","ETH","2016-10-15",11.94,11.98
"4423","ETH","2016-10-16",11.98,11.95
"4424","ETH","2016-10-17",11.96,12.01
"4425","ETH","2016-10-18",12,12.59
"4426","ETH","2016-10-19",12.59,12.02
"4427","ETH","2016-10-20",12.05,12.1
"4428","ETH","2016-10-21",12.13,12.18
"4429","ETH","2016-10-22",12.18,12.07
"4430","ETH","2016-10-23",12.13,12.04
"4431","ETH","2016-10-24",12.04,11.97
"4432","ETH","2016-10-25",11.97,11.41
"4433","ETH","2016-10-26",11.38,11.53
"4434","ETH","2016-10-27",11.53,11.5
"4435","ETH","2016-10-28",11.47,11.09
"4436","ETH","2016-10-29",11.1,10.44
"4437","ETH","2016-10-30",10.43,11.18
"4438","ETH","2016-10-31",11.23,11
"4439","ETH","2016-11-01",10.96,10.77
"4440","ETH","2016-11-02",10.77,10.75
"4441","ETH","2016-11-03",10.8,10.8
"4442","ETH","2016-11-04",10.82,11.09
"4443","ETH","2016-11-05",11.09,11
"4444","ETH","2016-11-06",10.99,10.87
"4445","ETH","2016-11-07",10.9,10.81
"4446","ETH","2016-11-08",10.85,10.83
"4447","ETH","2016-11-09",10.82,10.66
"4448","ETH","2016-11-10",10.67,10.52
"4449","ETH","2016-11-11",10.51,10.29
"4450","ETH","2016-11-12",10.29,9.88
"4451","ETH","2016-11-13",9.89,10.1
"4452","ETH","2016-11-14",10.1,9.97
